AppUsageEventEntity-packageName,category,abstract
com.kakao.cp.driver,Maps/Navigation,Travel
com.kakao.taxi,Maps/Navigation,Travel
com.kakao.wheel.driver,Maps/Navigation,Travel
com.kscc.scxb.mbl,Maps/Navigation,Travel
com.kt.mtmoney,Maps/Navigation,Travel
com.locnall.KimGiSa,Maps/Navigation,Travel
com.skt.tmap.ku,Maps/Navigation,Travel
com.ubercab,Maps/Navigation,Travel
de.hafas.android.db,Maps/Navigation,Travel
kr.co.vcnc.tada,Maps/Navigation,Travel
kt.navi,Maps/Navigation,Travel
net.orizinal.subway,Maps/Navigation,Travel
socar.Socar,Maps/Navigation,Travel
teamDoppelGanger.SmarterSubway,Maps/Navigation,Travel
Com.sktelecom.minit,Lifestyle,Lifestyle
com.F1.ShinSG,Lifestyle,Lifestyle
com.aboutjsp.thedaybefore,Lifestyle,Lifestyle
com.cj.twosome,Lifestyle,Lifestyle
com.cjkoreaexpress,Lifestyle,Lifestyle
com.global.tarotmaster,Lifestyle,Lifestyle
com.gsr.gs25,Lifestyle,Lifestyle
com.happy.mobilepop,Lifestyle,Lifestyle
com.homeplus.myhomeplus,Lifestyle,Lifestyle
com.hpapp,Lifestyle,Lifestyle
com.hyundaioilbank.android,Lifestyle,Lifestyle
com.ibillstudio.thedaycouple,Lifestyle,Lifestyle
com.idincu.ovey.android,Lifestyle,Lifestyle
com.kakao.home,Lifestyle,Lifestyle
com.kakao.i.connect,Lifestyle,Lifestyle
com.kr.hollyscoffee,Lifestyle,Lifestyle
com.kt.android.showtouch,Lifestyle,Lifestyle
com.kt.gigagenie.mobile,Lifestyle,Lifestyle
com.kt.ktauth,Lifestyle,Lifestyle
com.kt.olleh.storefront,Lifestyle,Lifestyle
com.ktcs.whowho,Lifestyle,Lifestyle
com.ktshow.cs,Lifestyle,Lifestyle
com.lge.appbox.client,Lifestyle,Lifestyle
com.lge.sizechangable.weather,Lifestyle,Lifestyle
com.lguplus.mobile.cs,Lifestyle,Lifestyle
com.lottemembers.android,Lifestyle,Lifestyle
com.lpoint.moalock,Lifestyle,Lifestyle
com.mrpizza.android,Lifestyle,Lifestyle
com.mysmilepay.app,Lifestyle,Lifestyle
com.nate.android.portalmini,Lifestyle,Lifestyle
com.nhnent.payapp,Lifestyle,Lifestyle
com.olleh.android.oc2,Lifestyle,Lifestyle
com.pione.questiondiary,Lifestyle,Lifestyle
com.samsung.android.bixby.agent,Lifestyle,Lifestyle
com.samsung.android.bixby.wakeup,Lifestyle,Lifestyle
com.samsung.android.calendar,Lifestyle,Lifestyle
com.samsung.android.oneconnect,Lifestyle,Lifestyle
com.samsung.android.samsungpay.gear,Lifestyle,Lifestyle
